Manufacturer,Model,Category,Subcategory,URL,Part Number,System,Accounting Item Name,Short Description,Long Description,Discontinued,Tags,Phase,Labor Hours,MSRP,Unit Cost,Unit Price,Taxable,Use Tax,Preferred Vendor,Order UOM,Order UOM Units,Do Not Order,Height,Width,Depth,Weight,Rack Mounted,Rack Units,Amps,Volts,Watts,BTU,Dispersion,Bulk Wire,Start Terminal,End Terminal,Input Terminals,Input Signals,Input Labels,Output Terminals,Output Signals,Output Labels,Custom Field 1 (Income Account),Custom Field 2 (Expense Account),Custom Field 3 (Spec Sheet - Type),Custom Field 4 (Spec Sheet - Cut Out Dimensions),Custom Field 5 (Spec Sheet - Part ID),Custom Field 6,Custom Field 7,Custom Field 8,Custom Field 9,Custom Field 10,Custom Field 11,Custom Field 12 (Spec Sheet Options),Custom Field 13,Custom Field 14,Summarize,Show In Product Details Report,Approved
LUTRON,PJ2-4B-GWH-L31,Lighting,RF Keypad,,PJ2-4B-GWH-L31,Lighting Control,,"Pico Wireless 4 Button Keypad with Light Icons, White",The Pico wireless control is a flexible and easy to use device that allows the user to control Lutron wireless load-control devices from anywhere in the space. This battery-operated control requires no external power or communication wiring.,FALSE,,Finish,0.25,39,23.4,39,TRUE,,Lutron Electronics Inc.,,,FALSE,2.6,1.3,0.32,0.25,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,2,,KP,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,PJ2-4B-GXX-EL2,Lighting,RF Keypad,https://savinc.sharepoint.com/:b:/g/ETCFkhILgG5DkiiGrFPqRB4BJXX7TjlcS_lW_mXjxy_wgg?e=aNZDYg,PJ2-4B-GXX-EL2,Lighting Control,LUTRON:PJ2-4B-GXX-EL2,"Pico Wireless 4 Button Keypad with Custom Engraving, Choose Color",The Pico wireless control is a flexible and easy to use device that allows the user to control Lutron wireless load-control devices from anywhere in the space. This battery-operated control requires no external power or communication wiring.,FALSE,,Finish,0.25,125,62.5,125,TRUE,,Lutron Electronics Inc.,,,FALSE,2.6,1.3,0.32,0.25,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,2,,KP,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,PJ2-4B-TSW-EL2,Lighting,RF Keypad,https://savinc.sharepoint.com/:b:/g/ETCFkhILgG5DkiiGrFPqRB4BJXX7TjlcS_lW_mXjxy_wgg?e=aNZDYg,PJ2-4B-TSW-EL2,Lighting Control,LUTRON:PJ2-4B-TSW-EL2,"Pico Wireless 4 Button Keypad with Custom Engraving, Texture Satin White",The Pico wireless control is a flexible and easy to use device that allows the user to control Lutron wireless load-control devices from anywhere in the space. This battery-operated control requires no external power or communication wiring.,FALSE,,Finish,0.25,125,62.5,125,TRUE,,Lutron Electronics Inc.,,,FALSE,2.6,1.3,0.32,0.25,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,2,,KP,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,PJ-2BRL-GXX-I01,Lighting,Non-inventory Part,,PJ-2BRL-GXX-I01,,LUTRON:PJ-2BRL-GXX-I01,Battery Powered 2-Button Keypad w/ Raise/Lower and ''Light'' Icon Engraving,Battery Powered 2-Button Keypad w/ Raise/Lower and ''Light'' Icon Engraving,FALSE,,Finish,1,56,33.6,56,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,320 - Finish - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,PJ-3BRL-GXX-T0X,Shades,Non-inventory Part,http://www.lutron.com/TechnicalDocumentLibrary/369453_Pico%20spec%20submittal.pdf,PJ-3BRL-GXX-T0X,Lighting Control,LUTRON:PJ-3BRL-GXX-T0X,"Keypad - Sivoia QS Wireless Pico Control, 3 Button Raise Lower, Gloss White/Grey","Keypad - Sivoia QS Wireless Pico Control, 3 Button Raise Lower, Gloss White/Grey",FALSE,,Finish,0.5,56,28,56,TRUE,,Lutron Electronics Inc.,,,FALSE,4.76,2.94,1.63,0,FALSE,0,0.03,24,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,PNL-8-PWRKIT,Electrical,Packages,http://www.lutron.com/TechnicalDocumentLibrary/369-585_ENG.pdf,PNL-8-PWRKIT,,LUTRON:PNL-8-PWRKIT,"Power Kit Assembly, 2 Amp, 240 Volt",Power Kit,FALSE,,Finish,0.25,185,92.5,185,TRUE,,Lutron Electronics Inc.,,,FALSE,59,15,4,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA-TX-Match,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,PP-120H,Lighting,Non-inventory Part,http://www.lutron.com/TechnicalDocumentLibrary/PP%20Series.pdf,PP-120H,,LUTRON:PP-120H,"PP Series Power Pack, 120V","PP Series Power Pack, 120V",FALSE,,Finish,0.5,49.5,24.75,49.5,TRUE,,Lutron Electronics Inc.,,,FALSE,2.33,3.69,1.36,0,FALSE,0,0.1,120,12,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,P-PKG1W-WH,Lighting,Kit,https://savinc.sharepoint.com/:b:/g/ETCFkhILgG5DkiiGrFPqRB4BJXX7TjlcS_lW_mXjxy_wgg?e=aNZDYg,P-PKG1W-WH,Lighting Control,LUTRON:P-PKG1W-WH,"Caseta Wireless Dimmer and Remote Kit, White",This kit for hardwired lights offers smart lighting control without the Smart Bridge. It replaces an existing switch and takes three steps and about 15 minutes to install. The kit can control up to 17 bulbs.,FALSE,,Finish,0.25,86,51.6,86,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,PPS1-120-15DC-3A,Lighting,Power Supplies,https://savinc.sharepoint.com/:b:/g/EfzeNkHNXItEjnWYieDPmkcBItfArdldKonMwO6yvRXdNQ?e=n6mvBD,PPS1-120-15DC-3A,Lighting Control,LUTRON:PPS1-120-15DC-3A,Wall Mounted Auxiliary Power Supply for 500 Additional LEDs,"The auxiliary power supplies are additional 15 V power sources that are used to power additional keypads and contact closure interfaces, when the power supply capacity of the processor is exceeded. A 4 Series P5 processor can power a maximum of 150 LEDs. An 8 Series P5 processor can power a maximum of 350 LEDs. Wireless series processors do not power keypads because each RF keypad is powered locally.",FALSE,,Finish,0.5,1040,520,1040,TRUE,,Lutron Electronics Inc.,,,FALSE,17.25,10,3.8583,13,FALSE,0,3,120,360,65,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,PS,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,PPS2-120-15DC-3A,Power Distribution,Power Supplies,,PPS2-120-15DC-3A,,LUTRON:PPS2-120-15DC-3A,Wall Mounted Auxiliary Power Supply for 1000 Additional LED - 120 VAC,"Power Supply, 17 Enclosure, 1000 Leds",FALSE,,Finish,0.5,1330,665,1330,TRUE,,Lutron Electronics Inc.,,,FALSE,17.25,10,2.88,0.5,FALSE,0,0,0,0,0,,FALSE,,,WIRE,120VAC,POWER,WIRE,15VDC,POWER,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,PS9-DTE,Power,Non-inventory Part,,PS9-DTE,,LUTRON:PS9-DTE,"Standalone Data-line Surge Suppressor, Rs-232 M-f","Standalone Data-line Surge Suppressor, Rs-232 M-f",FALSE,,Finish,0.5,30,16,30,TRUE,,Lutron Electronics Inc.,,,FALSE,5.25,17,19,0,FALSE,0,0,120,0,0,,FALSE,,,RJ45,DATA,IN,RJ45,DATA,OUT,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSE-CI-DMX,Control Systems,Touchscreens,http://www.lutron.com/TechnicalDocumentLibrary/369372_QSE-CI-DMX.pdf,QSE-CI-DMX,,LUTRON:QSE-CI-DMX,Control Interface,Control Interface,FALSE,,Finish,0.5,600,300,600,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0.5,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSE-CI-NWK-E,Control Systems,Touchscreens,http://www.lutron.com/TechnicalDocumentLibrary/040249.pdf,QSE-CI-NWK-E,,LUTRON:QSE-CI-NWK-E,Grafik Eye QS - control interface - ethernet or RS232 communication,"The QSE-CI-NWK-E is a versatile integration access point for Lutrons QS-based systems. Through either RS232 or TCP/IP over Ethernet, third-party devices can control and/or monitor a QS system.",FALSE,,Finish,0.5,865,432.5,865,TRUE,,Lutron Electronics Inc.,,,FALSE,2.5,6.8,9.2,0.95,FALSE,0,0,0,0,0,,FALSE,,,ACPLUG;DB9;RJ45,24VAC;CTRL;DATA,POWER;RS232;ETHERNET,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA-TX-Match,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSE-CI-WCI,Control Systems,Touchscreens,http://www.lutron.com/TechnicalDocumentLibrary/041395.pdf,QSE-CI-WCI,,LUTRON:QSE-CI-WCI,Homeworks QS-wallbox closure interface with 8 contact closure,"The QSE-CI-WCI (WCI) is a control interface for use with HomeWorks QS systems, Quantum systems, and QS standalone applications. The WCI integrates a contact closure keypad with a Lutron lighting control system. The contact closure keypad must be provided by the customer. The WCI provides up to eight contact closure inputs (CCIs). The CCIs accept maintained or momentary signals. The CCIs are programmable through the HomeWorks QS and Quantum system setup software. For QS standalone applications, the CCIs are programmable using the button, DIP switch, and LEDs on the WCI.",FALSE,,Finish,0.5,290,145,290,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,SCREW;SCREW;SCREW,36VDC;CTRL;CTRL,POWER;COM;MUX,SCREW,CTRL,MUX,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSE-IO,Control Systems,Touchscreens,http://www.lutron.com/TechnicalDocumentLibrary/040391.pdf,QSE-IO,,LUTRON:QSE-IO,Grafik Eye QS - control interface - contact closure - 5 x in - 5 x out,"The QSE-IO contact closure interface provides integration with third-party equipment requiring contact closure input/output, including occupancy and vacancy sensors; motorized projection screens, skylights, and window shades; AV equipment; security systems; movable partition walls; and timeclocks. One QSE-IO interface provides five (5) dry contact closure outputs and five (5) inputs.",FALSE,,Finish,0.5,380,190,380,TRUE,,Lutron Electronics Inc.,,,FALSE,2.6,6.9,9.2,1,FALSE,0,1,24,24,81.89,,FALSE,,,PHOENIX-4;;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX 2,QS LINK;;CCI;CCI;CCI;CCI;CCI;CCI,LINK;;INPUT 1;INPUT 2;INPUT 3;INPUT 4;INPUT 5;COM,PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2;PHOENIX-2,CCO;CCO;CCO;CCO;CCO;CCO;CCO;CCO;CCO;CCO,CCO NC 1;CCO NO 1;CCO NC 2;CCO NO 2;CCO NC 3;CCO NO 3;CCO NC 4;CCO NO 4;CCO NC 5;CCO NO 5,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSG-6P120-1,Lighting,Non-inventory Part,,QSG-6P120-1,,LUTRON:QSG-6P120-1,"Grafik Eye Scene Controller, 6 Zone, 1 Shade zone","Grafik Eye Scene Controller, 6 Zone, 1 Shade zone",FALSE,,,0.5,1360,680,1360,TRUE,,Lutron Electronics Inc.,,,FALSE,4.5,4.5,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGF,Lighting,Non-inventory Part,,QSGF,,LUTRON:QSGF,"Grafik Eye QS Faceplate Kit, 0 Shade Zones","Grafik Eye QS Faceplate Kit, 0 Shade Zones",FALSE,,Finish,0.5,100,50,100,TRUE,,Lutron Electronics Inc.,,,FALSE,4.5,4.5,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGFP,Lighting,Non-inventory Part,,QSGFP,,LUTRON:QSGFP,GRAFIK Eye Faceplate,GRAFIK Eye Faceplate,FALSE,,Finish,0.25,100,50,100,TRUE,,Lutron Electronics Inc.,,,FALSE,3,5.8,11.1,3.05,FALSE,0,0,120,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGR-16E,Lighting,Controllers,http://www.lutron.com/TechnicalDocumentLibrary/QSGRJ-xE_QSGR-xE_English_Install.pdf,QSGR-16E,,LUTRON:QSGR-16E,16 Zone Grafik Eye QS Wireless Control with Ecosystem Main Unit - Non RF 120 to 127 V or 220 to 240 V,The GRAFIK Eye QS with EcoSystem combines the flexibility and scalability of the standard model with the additional benefit of an integral EcoSystem bus supply.,FALSE,,Finish,1.5,2676,1338,2676,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,120,0,0,,FALSE,,,TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK,240VAC;240VAC;GND;CTRL;24VDC;CTRL,HOT/LIVE;NEUTRAL;GND;CONTACT CLOSURE 1;SENSOR;CONTACT CLOSURE 2,TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK,CTRL;CTRL;CTRL;CTRL;CTRL;CTRL;CTRL,IR DATA;IR COM;COM;MUX 1;MUX 2;DALI BUS 1;DALI BUS 2,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,,,,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-3P,Lighting,Controllers,http://www.lutron.com/TechnicalDocumentLibrary/Grafik Eye QS.pdf,QSGRJ-3P,,LUTRON:QSGRJ-3P,"3- zone GRAFIK Eye QS Wireless Main Unit for Phase Control, 434 MHz, 120 V","GRAFIK Eye QS Wireless Main Unit, 3-Zone Unit",FALSE,,Finish,1.5,1060,530,1060,TRUE,,Lutron Electronics Inc.,,,FALSE,3.1,5.8,11.1,2.6,FALSE,0,0,120,0,0,,FALSE,,,TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK,240VAC;240VAC;GND;CTRL;CTRL;24VDC,HOT/LIVE;NEUTRAL;GND;CONTACT CLOSURE 1;CONTACT CLOSURE 2;SENSOR,TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK;TERM BLK,CTRL;CTRL;CTRL;CTRL;CTRL;CTRL;CTRL,IR DATA;IR COM;COM;MUX 1;MUX 2;DALI BUS 1;DALI BUS 2,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,320 - Finish - Equipment,,VIA,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-4BL,Lighting,Non-inventory Part,,QSGRJ-4BL,,LUTRON:QSGRJ-4BL,"Grafik Eye QS Wireless 4zn, 0 Shade","Grafik Eye QS Wireless 4zn, 0 Shade",FALSE,,Finish,0.5,1360,660,1100,TRUE,,Lutron Electronics Inc.,,,FALSE,4.5,4.5,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-4P-1-XX,Unassigned,Non-inventory Part,,QSGRJ-4P-1-XX,,LUTRON:QSGRJ-4P-1XX,4 Zone Grafik Eye Wireless Control Unit,4 Zone Grafik Eye Wireless Control Unit,FALSE,,Finish,0,1470,735,1470,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-4P-XX,Unassigned,Non-inventory Part,http://www.lutron.com/TechnicalDocumentLibrary/Grafik Eye QS.pdf,QSGRJ-4P-XX,,LUTRON:QSGRJ-4P-XX,4 Zone Grafik Eye Wireless Control Unit,4 Zone Grafik Eye Wireless Control Unit,FALSE,,Finish,0,1290,645,1290,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-4WH,Lighting,Non-inventory Part,,QSGRJ-4WH,,LUTRON:QSGRJ-4WH,"Grafik Eye QS Wireless 4zn, 0 Shade","Grafik Eye QS Wireless 4zn, 0 Shade",FALSE,,Finish,0.5,1360,660,1100,TRUE,,Lutron Electronics Inc.,,,FALSE,4.5,4.5,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-6BL,Lighting,Non-inventory Part,,QSGRJ-6BL,,LUTRON:QSGRJ-6BL,"Grafik Eye QS Wireless 6zn, 0 Shade","Grafik Eye QS Wireless 6zn, 0 Shade",FALSE,,Finish,0.5,1360,762,1270,TRUE,,Lutron Electronics Inc.,,,FALSE,4.5,4.5,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-6P-XX,Unassigned,Non-inventory Part,http://www.lutron.com/TechnicalDocumentLibrary/Grafik Eye QS.pdf,QSGRJ-6P-XX,,,6 Zone Grafik Eye Wireless Control Unit,6 Zone Grafik Eye Wireless Control Unit,FALSE,,Finish,0,1480,740,1480,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSGRJ-6WH,Lighting,Non-inventory Part,,QSGRJ-6WH,,LUTRON:QSGRJ-6WH,"Grafik Eye QS Wireless 6zn, 0 Shade","Grafik Eye QS Wireless 6zn, 0 Shade",FALSE,,Finish,0.5,1360,762,1270,TRUE,,Lutron Electronics Inc.,,,FALSE,4.5,4.5,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSM2-XW-C,Lighting,Control Modules,http://www.lutron.com/TechnicalDocumentLibrary/041-290b.pdf,QSM2-XW-C,,LUTRON:QSM2-XW-C,"434 MHz, wireless sensor module","The QS Sensor Module (QSM) is a ceiling-mounted device that integrates Lutron wireless and wired sensors and controls through the QS communication link to Energi Savr NodeTM (ESN) units, GRAFIK EyeR QS control units, QuantumR systems, SivoiaR QS shades / draperies, and myRoomT control modules.",FALSE,,Finish,0.5,160,96,160,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,WIRE-RED;WIRE-RED;WIRE-RED;WIRE-RED;WIRE-BLACK;WIRE-BLACK;WIRE-BLACK;WIRE-BLACK;WIRE-YELLOW;WIRE-WHITE;WIRE-BLUE/GRAY;WIRE-WHITE,20V;20V;20V;20V;CTRL;CTRL;CTRL;CTRL;CTRL;CTRL;CTRL;CTRL,POWER 1;POWER 2;POWER 3;POWER 4;COMMON 1;COMMON 2;COMMON 3;COMMON 4;S 1;S 2;S 3;S 4,TERM BLK;TERM BLK;TERM BLK;TERM BLK,CTRL;POWER;CTRL;CTRL,COMMON;v+;MUX 1;MUX 2,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,ALL-TX,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSPS-10PNL,Shades,Power Supplies,http://www.lutron.com/TechnicalDocumentLibrary/045528.pdf,QSPS-10PNL,Window Treatments,LUTRON:QSPS-10PNL,Sivoia QS Smart Power Panel,The Sivoia QS Smart Panel simplifies wiring and organizes installations with multiple Sivoia QS window treatments and other system devices and interfaces. The Sivoia QS Smart Panel is designed to be hardwired into a standard 120 - 240 V ~  circuit. Each panel contains ten NEC Class 2/ PELV outputs that provide power and communication to connected devices.,FALSE,,Finish,1,1850,925,1850,TRUE,,Lutron Electronics Inc.,,,FALSE,18,10.88,4.16,15,FALSE,0,0.42,120,50,52,,FALSE,,,WIRE,120VAC,POWER,WIRE;WIRE;WIRE;WIRE,CTRL;POWER;CTRL;CTRL,COM;v+;MUX 1;MUX 2,Product Revenue:Rough-in Phase Product Revenue,Product COGS:Rough-in Product COGS,2,17.5'' H x 9.5'' W,SHDHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSPS-10PNL-NPM,Shades,Enclosure,http://www.lutron.com/TechnicalDocumentLibrary/045528.pdf,QSPS-10PNL-NPM,Window Treatments,LUTRON:QSPS-10PNL-NPM,10 Output Configurable Smart Enclosure.,The 10-Output Configurable Smart Panel simplifies wiring and organizes installations with multiple Sivoia QS window treatments and other system devices and interfaces.,FALSE,,Rough-In,0.5,315,157.5,315,TRUE,,Lutron Electronics Inc.,,,FALSE,18,10.88,4.16,15,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Rough-in Phase Product Revenue,Product COGS:Rough-in Product COGS,2,17.5'' H x 10.88'' W,SHDHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSPS-30PNL-NPM,Shades,,http://www.lutron.com/TechnicalDocumentLibrary/085592_SivoiaQS_30Output_ConfigurablePowerPanel.pdf,QSPS-30PNL-NPM,Window Treatments,LUTRON:QSPS-30PNL-NPM,30 Output Configurable Smart Enclosure,"The Sivoia QS Smart Enclosure simplifies wiring and organizes installations with multiple Sivoia QS window treatments and other system devices and interfaces. The Sivoia QS Smart Enclosure is designed to be hardwired into a standard 120 - 240 V~ circuit. Each panel contains three sub-plates, each providing termination points for 120-240 V~ and NEC Class 2/PELV wiring. Each sub-plate is plug-in ready for two 5-output power modules (sold separately). When fully populated with six power modules, each panel contains thirty NEC Class 2/PELV outputs that provide power and communication to connected devices.",FALSE,,Rough-In,0.5,1250,625,1250,TRUE,,Lutron Electronics Inc.,,,FALSE,59.5,15.87,4.21,0,FALSE,0,0.42,120,50,52,,FALSE,,,,,,,,,Product Revenue:Rough-in Phase Product Revenue,Product COGS:Rough-in Product COGS,2,59'' H x 14.375'' W,SHDHE,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSPS-DH-1-75-H,Power Distribution,Power Supplies,http://www.lutron.com/TechnicalDocumentLibrary/369885_ENG_WEB.pdf,QSPS-DH-1-75-H,Lighting Control,LUTRON:QSPS-DH-1-75-H,Power supply with wire harnesses for HomeWorks QS processor,The HomeWorks  QS Power Supply provides power to the HomeWorks  QS processor as well as system devices and interfaces.,FALSE,,Finish,0.5,300,150,300,TRUE,,Lutron Electronics Inc.,,,FALSE,3.54,3.54,2.4,0,FALSE,0,0.067,120,8,27.43,,FALSE,,,SCREW,120VAC,POWER,SCREW;SCREW,24VDC;24VDC,POWER 1;POWER 2,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,1,,QSPS,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSPS-J-1-50,Power Distribution,Power Supplies,http://www.lutron.com/TechnicalDocumentLibrary/085-274_QS_JBOX_PS.pdf,QSPS-J-1-50,,LUTRON:QSPS-J-1-50,"QS link power supply, J-box mount, 120V",Single Output QS Power Supply,FALSE,,Finish,0.5,240,120,240,TRUE,,Lutron Electronics Inc.,,,FALSE,0,0,2,0,FALSE,0,0,0,0,0,,FALSE,,,WIRE - BLACK;WIRE - WHITE;WIRE - GREEN,120VAC;NEUTRAL;GND,POWER;NEUTRAL;GND,EUROBLOCK;EUROBLOCK;EUROBLOCK;EUROBLOCK;EUROBLOCK,24VDC;CTRL;CTRL;CTRL;CTRL,POWER;MUX 1;MUX 2;COM 1;COM 2,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,300 - Prewire - Equipment,,VIA,0,0,0,,,,,,,FALSE,TRUE,TRUE
LUTRON,QSPS-P1-1-150,Lighting,Non-inventory Part,http://www.lutron.com/TechnicalDocumentLibrary/086108%20b.pdf,QSPS-P1-1-150,,LUTRON:QSPS-P1-1-150,Individual QS Shade Power Supply,Individual QS Shade Power Supply,FALSE,,Finish,0.5,0,99,198,TRUE,,Lutron Electronics Inc.,,,FALSE,17.25,10.25,2.88,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,310 - Trim - Equipment,,VIA,,,,,,,,,,FALSE,TRUE,TRUE
